room_type,bedrooms,number_of_reviews,review_scores_value,price,amenities
Private room,1,5,5,$37.00,"[""First aid kit"", ""Essentials"", ""Iron"", ""Breakfast"", ""Lock on bedroom door"", ""Heating"", ""Smoke alarm"", ""Long term stays allowed"", ""TV"", ""Kitchen"", ""Air conditioning"", ""Wifi"", ""Host greets you""]"
Private room,1,9,4.33,$37.00,"[""Hair dryer"", ""Essentials"", ""Refrigerator"", ""Microwave"", ""Lock on bedroom door"", ""Hot water"", ""Heating"", ""Shampoo"", ""Smoke alarm"", ""Free street parking"", ""Bed linens"", ""Hangers"", ""Air conditioning"", ""Wifi"", ""Long term stays allowed"", ""Carbon monoxide alarm""]"
Private room,1,105,4.88,$37.00,"[""First aid kit"", ""Microwave"", ""Stove"", ""Carbon monoxide alarm"", ""Essentials"", ""Oven"", ""Lock on bedroom door"", ""Hot water"", ""Smoke alarm"", ""Fire extinguisher"", ""Free street parking"", ""Private entrance"", ""Dishes and silverware"", ""Hair dryer"", ""HDTV with Roku"", ""Breakfast"", ""Bathtub"", ""Refrigerator"", ""Bed linens"", ""Cooking basics"", ""Hangers"", ""Radiant heating"", ""Iron"", ""Shampoo"", ""Kitchen"", ""Wifi""]"
Private room,1,9,4.88,$37.00,"[""First aid kit"", ""Microwave"", ""Stove"", ""Coffee maker"", ""Gym"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Essentials"", ""Oven"", ""Hot water"", ""Heating"", ""Smoke alarm"", ""Fire extinguisher"", ""Free street parking"", ""Air conditioning"", ""Dishes and silverware"", ""Refrigerator"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Kitchen"", ""Wifi""]"
Private room,1,7,4.86,$37.00,"[""Hair dryer"", ""Essentials"", ""Hot water"", ""Heating"", ""Shampoo"", ""Smoke alarm"", ""TV"", ""Kitchen"", ""Free street parking"", ""Lockbox"", ""Air conditioning"", ""Wifi"", ""Long term stays allowed"", ""Carbon monoxide alarm""]"
Private room,1,0,,$37.00,"[""Hair dryer"", ""Elevator"", ""Heating"", ""Smoke alarm"", ""Long term stays allowed"", ""Kitchen"", ""Hangers"", ""Dryer"", ""Washer"", ""Wifi"", ""Host greets you"", ""Carbon monoxide alarm"", ""Air conditioning""]"
Private room,1,1,,$37.00,"[""Lock on bedroom door"", ""Heating"", ""TV"", ""Kitchen"", ""Hangers"", ""Air conditioning"", ""Wifi"", ""Long term stays allowed""]"
Private room,1,11,4.91,$37.00,"[""Paid parking on premises"", ""Essentials"", ""Dedicated workspace"", ""Elevator"", ""Hot water"", ""Heating"", ""Smoke alarm"", ""Long term stays allowed"", ""Bed linens"", ""Hangers"", ""Free parking on premises"", ""Security cameras on property"", ""Wifi"", ""Host greets you"", ""Clothing storage: closet""]"
Private room,1,2,5,$37.00,"[""Essentials"", ""Iron"", ""Elevator"", ""Smoke alarm"", ""Kitchen"", ""Hangers"", ""Dryer"", ""Washer"", ""Wifi"", ""Long term stays allowed""]"
Private room,1,5,3.8,$37.00,"[""Oven"", ""Refrigerator"", ""Freezer"", ""Microwave"", ""Hot water"", ""Heating"", ""Long term stays allowed"", ""Laundromat nearby"", ""Bed linens"", ""Kitchen"", ""Stove"", ""Hangers"", ""Wifi"", ""Host greets you"", ""Dishes and silverware""]"
Private room,1,4,3,$37.00,"[""Wifi"", ""Long term stays allowed"", ""Hangers"", ""Heating""]"
Private room,1,6,4.83,$37.00,"[""Hot water"", ""Heating"", ""Long term stays allowed"", ""Bed linens"", ""Kitchen"", ""Hangers"", ""Security cameras on property"", ""Wifi"", ""Host greets you""]"
Private room,1,11,4.73,$37.00,"[""Essentials"", ""Lock on bedroom door"", ""Hot water"", ""Heating"", ""Bed linens"", ""Private entrance"", ""Air conditioning"", ""Wifi"", ""Long term stays allowed""]"
Private room,1,66,4.92,$37.00,"[""First aid kit"", ""Microwave"", ""Stove"", ""Coffee maker"", ""Long term stays allowed"", ""Essentials"", ""Oven"", ""Hot water"", ""Heating"", ""Smoke alarm"", ""Fire extinguisher"", ""Free street parking"", ""Air conditioning"", ""Extra pillows and blankets"", ""Host greets you"", ""Dishes and silverware"", ""Hair dryer"", ""Dishwasher"", ""Refrigerator"", ""Bed linens"", ""Cooking basics"", ""Hangers"", ""Luggage dropoff allowed"", ""Iron"", ""Shampoo"", ""Kitchen"", ""Wifi""]"
Private room,1,0,,$37.00,"[""Hair dryer"", ""Essentials"", ""Backyard"", ""Lock on bedroom door"", ""Hot water"", ""Heating"", ""Smoke alarm"", ""Kitchen"", ""Hangers"", ""Wifi"", ""Long term stays allowed"", ""Patio or balcony""]"
Private room,1,1,5,$37.00,"[""Heating"", ""Long term stays allowed"", ""Kitchen"", ""Hangers"", ""Wifi"", ""Host greets you""]"
Private room,1,14,4.85,$37.00,"[""Essentials"", ""Iron"", ""Breakfast"", ""Elevator"", ""Lock on bedroom door"", ""Gym"", ""Heating"", ""Shampoo"", ""Smoke alarm"", ""Kitchen"", ""Dryer"", ""Air conditioning"", ""Washer"", ""Wifi"", ""Long term stays allowed"", ""Carbon monoxide alarm""]"
Private room,1,0,,$37.00,"[""Heating"", ""Fire extinguisher"", ""Kitchen"", ""Hangers"", ""Wifi"", ""Long term stays allowed""]"
Private room,1,0,,$37.00,"[""Hair dryer"", ""Heating"", ""Smoke alarm"", ""Hot tub"", ""Kitchen"", ""Hangers"", ""Wifi"", ""Long term stays allowed""]"
Private room,1,2,3.5,$37.00,"[""Refrigerator"", ""Lock on bedroom door"", ""Heating"", ""Smoke alarm"", ""Kitchen"", ""Hangers"", ""Air conditioning"", ""Wifi"", ""Long term stays allowed"", ""Carbon monoxide alarm""]"
Private room,1,0,,$37.00,"[""Essentials"", ""Iron"", ""Heating"", ""Shampoo"", ""Hangers"", ""Air conditioning"", ""Wifi"", ""Long term stays allowed""]"
Private room,1,2,5,$37.00,"[""First aid kit"", ""Microwave"", ""Laundromat nearby"", ""Coffee maker"", ""Mini fridge"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Essentials"", ""Hot water kettle"", ""Lock on bedroom door"", ""Hot water"", ""Heating"", ""Smoke alarm"", ""Fire extinguisher"", ""Free street parking"", ""Security cameras on property"", ""Cleaning before checkout"", ""Host greets you"", ""Cleaning products"", ""Hair dryer"", ""Ceiling fan"", ""Bathtub"", ""Clothing storage: dresser and closet"", ""TV"", ""Bed linens"", ""Hangers"", ""Luggage dropoff allowed"", ""Iron"", ""Wifi""]"
Private room,1,3,2.67,$37.00,"[""Lock on bedroom door"", ""Hot water"", ""Heating"", ""Smoke alarm"", ""Kitchen"", ""Cooking basics"", ""Hangers"", ""Air conditioning"", ""Wifi"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Dishes and silverware""]"
Private room,1,0,,$37.00,"[""Hot water"", ""Heating"", ""Long term stays allowed"", ""Kitchen"", ""Hangers"", ""Wifi"", ""Host greets you""]"
Private room,1,0,,$37.00,"[""Heating"", ""Long term stays allowed"", ""Kitchen"", ""Hangers"", ""Wifi"", ""Host greets you""]"
Private room,1,3,5,$37.00,"[""First aid kit"", ""Essentials"", ""Smoke alarm"", ""TV"", ""Kitchen"", ""Hangers"", ""Air conditioning"", ""Security cameras on property"", ""Wifi"", ""Long term stays allowed"", ""Carbon monoxide alarm""]"
Private room,1,0,,$37.00,"[""Essentials"", ""Elevator"", ""Lock on bedroom door"", ""Hot water"", ""TV"", ""Kitchen"", ""Air conditioning"", ""Wifi"", ""Long term stays allowed""]"
Private room,1,0,,$37.00,"[""Wifi"", ""Cleaning before checkout"", ""Oven"", ""Iron"", ""Bathtub"", ""Refrigerator"", ""Hot water"", ""Heating"", ""Smoke alarm"", ""Free street parking"", ""Bed linens"", ""Kitchen"", ""Stove"", ""Dryer"", ""Hangers"", ""Washer"", ""Extra pillows and blankets"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Air conditioning""]"
